name,description,facilities,activities,island,site_link
Makaha Beach Park,"Makaha Beach Park (see more photos, view panorama) is located on Oahu's leeward (west) coast and offers good swimming, bodyboarding and surfing conditions. The swimming is better in the summer months when the ocean is generally calmer here (but exceptions are always possible). In the winter months, the surf is often times up and there is a strong shorebreak and rip currents. This is when Makaha Beach is only suitable for experienced surfers. Before going into the water, pay attention to all signs posted at the beach and ask the lifeguards about the current ocean conditions.   If you want to swim, enter the ocean in the middle section of the beach where there is no reef. Surfers usually prefer the northern end of the beach because this is where the waves break on the reef (near the hotel). However, it's only recommended for experienced surfers. Especially during low tide the reef is close to the water's surface and it is sharp. Makaha Beach Park is located on the driest side of the island, so especially in the summer months it is hot and dry here. Bring enough water and sunscreen and maybe even a beach umbrella because there is not much shade on the beach. Makaha Beach Park is one of the more popular beach parks on this side of the island, but nevertheless the beach is hardly ever crowded. The busiest times are the weekends when local residents come here with their families to picnic and relax. There are a few picnic tables, restrooms and showers.     ",,"swimming, surfing, bodyboarding, snorkeling, scuba diving, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/makaha-beach-park.php
Makaleha Beach Park,"Makaleha Beach Park (view panorama) is one of the lesser-known beaches on Oahu's North Shore, located about 13 miles (21 km) west from popular Sunset Beach and Waimea Bay.It is beautiful with a long and curved sandy beach, azure blue waters and trees that provide ample shade.   The beach park is easy to miss from Farrington Highway, so many people drive right by it. It is accessible via a narrow beach access trail (look for a blue sign that says “public right-of-way to beach"" which is hidden behind bushes and sometimes parked cars), located right across from the driveway to the Dillingham Lodge. There is no designated beach parking lot, only roadside parking. After a 5-minute walk on the beach access trail you'll reach Makaleha Beach. It is backed by fenced-off private property where horses are being kept. The nearshore waters right where the beach access trail ends are rocky. But if you walk a little bit to the west (left), there is a sandy channel in the reef. When the ocean is calm, the snorkeling can be good here. In the winter months (November to March), Oahu's North Shore often gets pounded by high surf. There are no lifeguards stationed here. The beach park also has no facilities.     ",,"swimming, snorkeling, surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/makalehabeachpark.php
Makalei Beach Park,"Located at the base of Diamond Head at the eastern end of Waikiki, Makelei Beach Park (view panorama) has a small and narrow beach.The swimming conditions are limited here because there is a reef on the nearshore ocean bottom.   It's a nice place to dip in the water and on most days (especially on weekdays) the beach is empty. It can't be seen from the road. To get to it you'll have to walk through the beachfront park all the way to the stone seawall that lines the park's oceanfront and then turn right. The beach is backed by a few luxury beachfront homes. The beach park itself has some large trees that provide plenty of shade, and there are picnic tables and benches. The park is also used by surfers to access a few surf sites located offshore, some of which have scary or strange sounding names, such as Graveyards, Suicides, Radicals, Sleepy Hollows and Ricebowls.    ",,"limited swimming, snorkeling, surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/makaleibeachpark.php
Makapu'u Beach Park,"Backed by sea cliffs, Makapu'u Beach Park (view panorama) is popular among bodyboarders and bodysurfers. Rip currents and a powerful shorebreak make for a very rough ride, perfect for adventure seekers. During the summer months the ocean is usually calmer than in the winter months (November to February), but even in the summer there are waves here almost every day. In other words, Makapu'u is not suitable for a leisurely swim. The width of the beach varies throughout the year. In the winter, high surf erodes the beach and exposes large boulders in the shorebreak.   Just around the corner from Makapu'u Beach on the sea cliff is Makapu'u Lighthouse. A paved trail leads to it that can be accessed from a parking lot along Kalanianaole Highway. This area is known as the Ka Iwi State Scenic Shoreline. Also located just south of Makapu'u Beach is the Makapu'u Lookout (also has a parking lot). From up here you can enjoy a nice view of Makapu'u Beach and two islands - Rabbit Island (the larger one, also known as Manana Island) and Black Rock (the smaller one, also known as Kaohikaipu Island).      ",,bodyboarding,Oahu,https://www.to-hawaii.com/oahu/beaches/makapuubeachpark.php
Makua Beach,"Makua Beach is one of the most secluded and far away beaches on Oahu. This undeveloped and never crowded white-sand beach is backed by the Waianae Mountain Range and Makua Valley (after which the beach is named). Most Oahu visitors never get to see this beach. That's because no tour buses go here, and most people who make the effort to drive to the remote leeward coast of Oahu only drive up to Makaha Beach, a popular big wave surfing beach in the winter months. After the small town of Makaha the development soon ends and there aren't any other buildings. Even the road narrows.   From November to April, there is some excellent surf on this side of the island, perfect for expert surfers. Unlike many Oahu beaches, Makua Beach is not protected by an offshore reef, so the waves can get really high and the currents strong on rough days. The ocean bottom drops off quickly here, so swimmers should stay close to the shore. Fishing and bodyboarding are popular activities on calmer days. There are no lifeguards or facilities here. Makua Beach is the second last beach where the road ends (the last one is Yokohama Bay). Both beaches are part of the Ka'ena Point State Park. If you're up for a hike, there is a trail that leads to the northwestern tip of the island. Ka'ena Point is supposedly a ""leina a ka uhane,"" or a jumpoff point for departing souls. The area is sacred to Native Hawaiians. No paved roads lead to the park, so hiking is the only way to get there.    ",,"fishing, swimming, snorkeling, surfing",Oahu,https://www.to-hawaii.com/oahu/beaches/makuabeach.php
Malaekahana Bay,"Malaekahana Bay (see more photos, view panorama), located on the northeastern shore of Oahu between La'ie and Kahuku, has a long white-sand beach, which makes it perfect for beach walks, ball games and relaxation. It offers good bodyboarding and surfing conditions, especially in the winter when the surf is up. However, the currents can be strong, and there are no lifeguards on this beach.   Located just offshore on the south end of the bay is the small Moku'auia Island, also known as Goat Island. If you are eager to explore it and want to be on a secluded island all by yourself, you can swim over, take a body- or surfboard with you or when it's low tide, simply walk over because the water is shallow enough. Just put some reef shoes on to prevent cuts on your feet. Goat Island is a real hidden paradise. It has a white, sandy beach and green sea turtles can be spotted in the area. In the center of the island is a seabird nesting area. This area is off limits to people.      ",,"swimming, bodyboarding, surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/malaekahana-bay.php
Mauna Lahilahi Beach Park,"This beach park is named after Mauna Lahilahi (see more photos, view panorama) , a small mountain located on the northern end of the beach. In the Hawaiian language, Mauna Lahilahi means “thin mountain.” It rises 230 feet (70 m) and provides a scenic backdrop. The beach itself is narrow and fronted by a reef. The swimming conditions are therefore rather poor.   The beach park is located right on Farrington Highway, so one can hear the traffic at all times. There are a few picnic tables in the park, but since they are not standing in the shade of a tree, they are almost always empty. There are a few scattered trees near the southern end of the beach that are a better spot for a picnic (if you don't have a beach umbrella). However, some of the trees have sharp thorns, so avoid picnicking under one of those. On the far southern side of the beach are three small coves. One of them has a protected swimming area (it is protected by a man-made rock wall). A few vacation condominiums are located here as well.     ",,"surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/maunalahilahibeachpark.php
Maunalua Bay Beach Park,"Maunalua Bay (view panorama, see more photos), located in Hawaii Kai on Oahu's south shore, is a favorite spot among canoe paddlers, boaters, kayakers, fishers and picnickers. Swimming conditions are rather poor here because the ocean bottom is shallow and rocky, but the views are nice and other ocean activities possible. Maunalua means “two mountains” and refers to Koko Crater and Koko Head, the two peaks located east of Maunalua Bay.   The beach park, which borders Kalanianaole Highway, was developed by Henry J. Kaiser when the Hawaii Kai Marina was built. In the past, the beach consisted of 535,000 square feet (49,703 sq. m) of coral that was dredged from the bay and pumped into low places along the existing shore. A boat channel was also dredged and upon completion of the park, Kaiser donated it to the City and County of Honolulu in 1960. The Hawaii Kai Marina was once a huge fishpond named Kuapa. At one point it covered 523 acres (2.1 sq. km) and its wall was 5,000 feet (1.5 km) long. There is a canoe storage building, or halau, at the west end of the park.     ",,"fishing, boating, surfing, kayaking, canoe paddling",Oahu,https://www.to-hawaii.com/oahu/beaches/maunaluabaybeach.php
Mokule'ia Beach Park,"Mokule'ia Beach Park (view panorama, see more photos) on Oahu's North Shore has a long sandy beach and a shallow reef that attracts swimmers, surfers, kite- and windsurfers year-round.This is the only beach park with facilities along this shore, between Waialua and Ka'ena Point.   From the beach one has access to several popular surf spots, including Park Rights and Day Star, a little further to the west. When the winds are blowing from the south (Kona winds), it means good conditions for kite- and windsurfers. And when the water is calm and the surf low, the shallow reef provides good conditions for snorkeling and spearfishing. Watch out for strong swells that are common in the winter months. Then it is best to stay out of the water because this beach has dangerous rip currents that can sweep you out to sea.     ",,"surfing, swimming, windsurfing, snorkeling, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/mokuleiabeachpark.php
Kalaniana'ole Beach Park (Nanakuli Beach Park,"Nanakuli Beach Park (see more photos), located in Nanakuli on Oahu's leeward (west) coast, is a 40-acre park with a long and wide sand beach (about 500 feet long and 125 feet wide – 152 m x 38 m). It is situated between two limestone points and right along Farrington Highway. In March 2016 it was announced that the original name of Nanakuli Beach Park will be restored. So this beach park is now called Kalaniana'ole Beach Park. Restoration of the park's original name was done on behalf of residents who expressed a desire to honor the late Prince Jonah Kuhio Kalaniana'ole Pi'ikoi.   There isn't a lot of shade here and because the west coast of Oahu is hot and dry, it is a good idea to bring plenty of water and sunscreen. On the right (north) end of the beach park is a grassy area with some trees, picnic tables and a ballfield. The beach gets high surf and strong currents during the winter months and this is when swimming is not recommended here. And even during the summer, you can feel the power of the ocean - this beach has a strong shorebreak. Camping is allowed with a permit. More info about how to get a permit is here.     ",,"swimming, bodyboarding, surfing, canoeing, scuba diving, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/nanakulibeachpark.php
Paiko Beach,"Located on Oahu's south shore, Paiko Beach (view panorama) is a narrow strip of sand that almost disappears at high tide.It is fronted by a shallow coral reef, so the swimming conditions are poor here. It's a better spot to kayak or fish. Also, surfers paddle out here to reach the waves of Paikos and other surf spots that are located at the outer edge of the reef.   Paiko Beach is named after Joseph Paiko who died on June 1, 1942. His father Manuel Paiko came to Hawaii as a whaler in the 1840s. He came from Pico, one of the nine main islands of the Azores, located about 800 miles (1,287 km) off the coast of Portugal. He was known as “Manuel do Pico” and his name later became “hawaiianized” into Paiko. Paiko senior was one of the first Portuguese to settle in Hawaii, who came to Hawaii even before the first group of Portuguese contract laborers came in 1878. The undeveloped Paiko Peninsula is located at the east end of the beach. Local residents call it Sand Point. The peninsula encloses the saltwater Paiko Lagoon, which was designated as a wildlife sanctuary by the State Department of Land and Natural Resources in 1974. Many endangered Hawaiian shorebirds find a place of refuge here, including the Hawaiian stilt, also known as a‘eo.    ",,"surfing, fishing, kayaking",Oahu,https://www.to-hawaii.com/oahu/beaches/paikobeach.php
Papa'iloa Beach,"Papa'iloa Beach (view panorama) is among the lesser-known beaches on Oahu's North Shore.It only became more popular in recent years because of the TV series LOST, which was partially filmed near here.

Papa'iloa is a beautiful and long white-sand beach fronting the beachfront community of the same name. A shallow reef lines much of the coastline, so it is not a prime beach to go swimming.   Several surf spots are located offshore. One of the more popular spots is called Himalayas. The surf spot was named by two big-wave surfers in the late 1950s who after surfing here believed that they had ridden the highest surf in the world and named this place after the highest mountains in the world – the Himalayas.

During the winter months, the waves can get very big and the ocean currents erode the parts of the beach that are not protected by a reef. In the summer months when the surf is generally calmer, spearfishers can be seen diving on the reefs offshore.      ",,"surfing, fishing, limited swimming",Oahu,https://www.to-hawaii.com/oahu/beaches/papailoabeach.php
Poka'i Bay Beach Park,"Because of its breakwater offshore that blocks high surf, Poka'i Bay (see more photos, view panorama) is the most protected beach on the leeward (west) coast of Oahu. It is calm year-round, while other beaches on the leeward coast get strong surf in the winter months. So this is a good place to take the kids or to swim if you're a novice swimmer. The calmest area is at the southern end of the bay, next to the breakwater. There's a wide reef in the middle of the bay and the waves that break on it are usually small, which makes it a good spot for beginning surfers. Poka'i Bay lies between the small boat harbor in Wai'anae and Kane'ilio Point, a peninsula which is home to the Ku'ilioloa Heiau, an ancient Hawaiian temple site.The peninsula's shoreline has a few memorials for people whose ashes have been scattered offshore. It is also a popular fishing location. In the center of the bay is the Wai'anae Army Recreation Center, which was acquired by the federal government in 1918. The bay is named after the Hawaiian chief Pokai, who is said to have brought the first coconut palm tree to Hawaii. “Ka Uluniu o Pokai” is the famous coconut grove that once lined the backshore. There is a sign with a plaque at the beginning of the peninsula that tells of the history of this area. It says: Malaea Pokai Bay was originally named Malaea, meaning ""calm"" or ""serene."" Malaea shelters the sandy beach of Nene'u and the site of the temple called Ku'ilioloa Heiau at Kane'ilio Point. Dedicated to a dog kupua (spirit), rites performed at the heiau protected those traveling by land and sea. At the north end of the bay is Kaupuni Stream, the spawning ground of anae (mullet) which gave Wai'anae (mullet waters) its name. The village Poka'i, famous for its coconut grove, once lay near the stream.        ",,"swimming, snorkeling, surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/pokaibeachpark.php
Police Beach,"Police Beach is a remote beach on Oahu's North Shore, even though it lies between other popular surfing beaches. It is not remote in terms of distance, but rather in terms of accessibility. The beach encompasses a large stretch of shoreline, all the way from Papa'iloa Beach to Pua'ena Point. To get to Police Beach, one either has to walk along the shoreline from Papa'iloa Beach or Pua'ena Point Beach Park because the backshore of Police Beach is private property. Episodes of the popular TV series LOST were filmed on Police Beach. The beach is sandy, but many areas on the water's edge are covered by a lava rock shelf. The ocean bottom offshore is rocky too, so swimming isn't possible here (also because of strong rip currents, especially when the surf is up). Several surf spots are located offshore. Also, local fishermen come here for shoreline fishing.   This stretch of coastline was leased by the Honolulu Police Relief Association (HPRA) in 1975 and was used as a campsite for members of the Honolulu Police Department. That's how this beach got its rather strange and un-Hawaiian name.    ",,"surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/policebeach.php
Pua'ena Point Beach Park,"Located on Oahu's North Shore next to Haleiwa Beach Park, Pua'ena Point (see more photos, view panorama) is mainly known among the local surf crowd for being a good surf spot.It can be a good spot for beginners when the waves aren't too high. Surfing lessons take place here. But when the surf is way up, it's for experts only. Most surfers enter the ocean from a small sandy beach before reaching Pua'ena Point.   The beach is a nice place for a picnic (there is some shade), and on the weekends local families come here with their children. The nearshore ocean bottom is a mixture of rocks and small sand patches. If you walk further along the shoreline (about three minutes), you'll reach Pua'ena Point (a rocky outcropping). Around the corner is Police Beach, where episodes of the popular TV series LOST were filmed. The backshore of this entire area is private property. There are many signs that tell people to keep out. According to Hawaii state law all beaches are public property and owned by the state. Private property however can begin right at the natural vegetation line. So if you plan to visit this shoreline, stay on the beach and don't venture inland. The private property is guarded by a security guard and you don't want to be prosecuted for trespassing.     ",,surfing,Oahu,https://www.to-hawaii.com/oahu/beaches/puaenapointbeachpark.php
Punalu'u Beach Park,"Punalu'u Beach Park (view panorama) on Oahu's windward coast has a narrow sandy beach. The nearshore ocean bottom is shallow and has a reef, so the swimming conditions are poor. Snorkeling is possible when the ocean is calm.The beach park is a popular fishing location, mainly for he'e (octopus). On the northern end of the park, Punalu'u Stream flows into the ocean. Large rocks were placed near the water's edge here to prevent beach erosion. Punalu'u means ""to dive for coral"" in the Hawaiian language. The beach park is located along Kamehameha Highway.       ",,"snorkeling, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/punaluubeachpark.php
Pupukea Beach Park,"Pupukea, which means “white shell” in the Hawaiian language, is a long and narrow stretch of beach with a rocky shoreline. On each end of Pupukea Beach Park (view panorama) lie two small pocket beaches within the rocks – Shark's Cove and Three Tables.Both are very popular and fantastic dive and snorkeling sites, but mainly in the summer months when the surf is calm. In the winter when the surf is up and dangerous, swimming, snorkeling and diving are often times not possible or recommended.   Shark's Cove got its name from a popular story that says that the outline of a reef outside the cove looks like a shark when seen from above. In the summer months, Shark's Cove is a prime snorkeling spot, and even though the access to the water makes you wish you were a mountain goat, it is a very popular destination (finding a parking spot can be challenging on busy summer weekends). To get to the ocean, you have to climb down a steep dirt path. There is no sandy beach here, just a few sandy patches between the boulders that line the shore.  Three Tables is named like that because of the three flat reefs that lie off the beach. The “tables” emerge above the ocean's surface during low tide. It's another great snorkeling spot, also only in summer as the surf is too wild and too dangerous in winter. In between both beaches you find a beachcomber's paradise with tide pools, surreal lava formations and the occasional blowhole. In the middle section of the park is the Honolulu Fire Department's Sunset Beach Fire Station, an important base for the North Shore of Oahu. The firefighters stationed here also respond to many ocean rescues. Pupukea Beach Park (see more photos) is a marine life conservation area and has several great spots to play in the water along its narrow 80 acres on the side of Kamehameha Highway. Across the street is a Foodland supermarket (only grocery store in this area), and you'll find many small surf-wear stores and roadside food trucks nearby.     ",,"snorkeling, surfing, scuba diving, bodyboarding, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/pupukeabeachpark.php
Queen's Surf Beach,"Named after Queen Liliuokalani because her beach house and its pier used to stand here, Queen's Surf Beach (see more photos, view panorama) is located right in Waikiki and is actually a section of Waikiki Beach.It is located between the Kapahulu Groin on its west end and the Waikiki Aquarium on its east end.   The Kapahulu Groin was built in 1951 and surfers named it The Wall, or in short Walls. Walls is also the name of the nearby surf break, which is reserved exclusively for bodyboarders (no surfboards are allowed within 150 yards of it and the area is marked by buoys). Another popular big-wave surf spot, named Cunha's, is located straight out from The Wall. So besides being a bodyboarder's paradise, Queen's Surf Beach is also a great spot for snorkelers. There is a reef in front of the Waikiki Aquarium where snorkeling is good when the water is calm. In the park near The Wall is a bronze sculpture, which was dedicated by the City and County of Honolulu in 2003. Designed by artist Robert Pashby, It's called “Surfer on a Wave” and it is a monument to surfing in Waikiki. The Kapahulu Groin also marks the western boundary of the Waikiki Marine Life Conservation District, which goes all the way from the Groin east to the War Memorial Natatorium. In this area, fishing and removing marine life is prohibited. If you like movies, come here on weekend evenings when free outdoor movies are shown on a big movie screen (you can't miss it, just look out for the large construction right on the beach). The event, known as Sunset on the Beach, includes music entertainment prior to the movie and food booths and begins at around 4 p.m. The movie begins around sunset, or around 7 p.m.    ",,"bodyboarding, snorkeling, swimming",Oahu,https://www.to-hawaii.com/oahu/beaches/queensbeach.php
Sand Island Beach Park,"Sand Island Beach Park (see more photos, view panorama) may not be the typical picture-perfect tropical beach, but it has other charms that make it a good place to visit.The small island is located right offshore from Honolulu Harbor on Oahu. It is accessible via the Sand Island Access Road.   From here you can enjoy unique views of Waikiki Beach, Diamond Head and the Honolulu International Airport. Besides the many low-flying airplanes of which you'll get up-close views, you'll also see many incoming freight and passenger ships and often times even big cruise ships that anchor right there in the harbor. Sand Island used to be an important location for coastal defense in World War II. The deserted lookout towers and bunkers that are still here today are remnants of this time. They make for an almost surreal contrast to the grassy areas, swinging palm trees and the blue waters of the Pacific. The long, sandy beach is never crowded and the beach park is a good place for picnics. Camping is also possible here Fridays through Mondays, but only with a permit. More info on how to get a permit is here. The swimming conditions are fair, due to rocks in the water and the fact that Sand Island is near a busy harbor and underground sewer canals. Swimming is also limited to certain areas and not allowed in the harbor shipping lanes. However, fishing is good and you'll see many local fishermen trying their luck. Surfing is also possible; the waves are best in the summer months. No lifeguards are stationed on Sand Island. As for amenities, picnic tables and restrooms are available. Keep in mind that it's not safe to go on top of the lookout towers or bunkers. They are closed to the public. Never swim in the harbor lanes and follow all warning signs.     ",,"limited swimming, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/sandislandbeachpark.php
Sandy Beach Park,"Sandy Beach Park (see more photos, view panorama) is located on Oahu's southeastern shore. With its pounding waves and powerful shorebreak, it is popular among experienced bodyboarders and bodysurfers. This beach is known as one of the most dangerous beaches in Hawaii, and people call it ""the beach of broken necks"" or ""Broke Neck Beach"" for a reason. It is sad that numerous people have become paralized after enjoying the waves at Sandy's. Others have drowned.   On most days of the year, you will see red warning flags and signs posted on the beach that warn people about the dangers (which are: strong currents, dangerous shorebreak, high surf and sharp coral). Even if the ocean looks calm, which is rare here as there are waves on almost every day of the year, be aware that there could be dangerous currents. Many people come to Sandy Beach Park to just watch the waves, take photos and relax on the beach. There is no shade on the beach though. The beach park has a large grassy area with picnic tables, restrooms and showers.      ",,"surfing, bodyboarding, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/sandy-beach-park.php
Shark's Cove,"Don't worry, you will most likely not run into any sharks when swimming at Shark's Cove (view panorama). This cove got its name from a popular story that says that the outline of a reef outside the cove looks like a shark when seen from above.   Shark's Cove is a lava-rock beach on the North Shore of Oahu and is part of Pupukea Beach Park. It is unique not only because of its spectacular underwater rock formations, but also because of its diverse marine life. Tropical colorful fish and sea turtles are the cove's constant inhabitants. Harmless white-tipped reef sharks may also be spotted just outside the cove. Because of its amazing underwater world, Shark's Cove is a favorite spot among snorkelers and scuba divers. The lava has formed underwater caves and tunnels about 15 to 45 feet (4.5 to 13.7 m) below the surface. These caves are a real thrill for experienced scuba divers. No lifeguards are stationed here. If you want to go swimming at Shark's Cove, it is a good idea to wear reef shoes because of the sharp coral reef that is everywhere in the cove. The best time to explore the cove is in the summer months when the ocean is usually calm. During the winter, getting into the water at Shark's Cove is not recommended because this is when the surf is up on Oahu's North Shore. Shark's Cove is part of an 80-acre Marine Life Conservation District. People need to respect the cove's marine inhabitants and keep the area clean.     ",,"scuba diving, snorkeling",Oahu,https://www.to-hawaii.com/oahu/beaches/sharks-cove.php
Sunset Beach Park,"Located on the North Shore of the island, Sunset Beach Park (see more photos, view panorama) is one of Oahu's finest beaches for swimming and snorkeling during the summer when the water is usually calm.   During the winter the beach is a world-famous surfing spot, home to internationally renowned surfing contests. This is when the waves can reach 30+ feet (9m), which makes Sunset Beach a real surfer's paradise.Sunset Beach is at the east end of this 2-mile long sandy shore. To the west are Ehukai Beach and Banzai Pipeline, two other popular surfing beaches. Sunset Beach is also known for its powerful rip current, called the Sunset Rip, that runs on every big swell. But even when the ocean appears calm, you'll notice the strong alongshore current in the nearshore waters. You enter the ocean in one area, but a few minutes later you find yourself a little bit further down the beach. Guessing from its name, Sunset Beach has nice sunset views, especially in the summer months.   ",,"swimming, snorkeling, surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/sunset-beach-park.php
Swanzy Beach Park,"Located on Oahu's windward coast, Swanzy Beach Park (see more photos) is a good spot to camp, picnic and fish.A seawall stands at the water's edge and the nearshore ocean bottom has a shallow reef, so swimming isn't possible here. There is only a narrow strip of sand right behind the seawall. Since the name Swanzy isn't Hawaiian, one may wonder why this beach park is named like this. In the 1920s, island resident Julie Judd Swanzy donated these five acres of beachfront land to the City and County of Honolulu for a park. She had inherited the land from her father, Dr. Gerritt P. Judd. The park was officially named after her to recognize her generosity. The park also has a playground for children and picnic tables. Camping is allowed on the weekends (Friday through Sunday) and with a permit only. More info how to get a permit is here.     ",,"camping, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/swanzybeachpark.php
Three Tables Beach,"Three Tables Beach (see more photos, view panorama) got its name from the three sections of flat reef that appear on the ocean's surface during low tide. These formations make an interesting backdrop for one of the most attractive beaches on Oahu's North Shore.   The snorkeling and diving conditions are good if the ocean is calm, usually between May and September. The water is only about 15 feet (4.5 m) deep and you'll be able to see all kinds of colorful fish and underwater lava tubes, ledges and arches. Sometimes you can also see sea turtles here. In the winter, the waves can reach heights of over 20 feet (6 m) in this area. This makes for a very rough and dangerous ride and is only something for experienced surfers. The surf can be unpredictable during this season, so never turn your back to the ocean when you're in the water.      ",,"swimming, snorkeling, scuba diving",Oahu,https://www.to-hawaii.com/oahu/beaches/threetables.php
Turtle Bay,"Turtle Bay (view panorama) marks the entrance to the legendary North Shore, one of the most scenic stretches of Oahu's coastline. The bay is named after the large number of green sea turtles that inhabit the area and who used to lay their eggs in the sand on the beach years ago (however, they don't do this anymore).   Most people come to Turtle Bay for surfing, diving and fishing. There is a reef in the nearshore waters, and beyond this reef is where the surfing area begins. This is where you get some serious waves, especially in the winter months (November to February). The current can be very strong at times, so make sure to check weather conditions before venturing beyond the reef. No lifeguards are stationed here. The beach itself is sandy, but the swimming condition are poor at Turtle Bay because the nearshore ocean bottom is rocky and there is a large limestone shelf that spans almost the entire length of the bay. At the west end of the bay is a small island called Papa'amoi. The upscale Turtle Bay Resort (see more photos, view panorama) is located next to this bay. Most resort guests prefer to swim at neighboring Kuilima Cove because it offers easier access to the water (it has a sandy patch in the nearshore waters) and the beach is more protected from high surf due to an offshore reef. So overall, the beach at Turtley Bay is only sparsely visited. It is perfect if you a looking for a relaxing spot for a picnic. Ironwood trees line the backshore and provide plenty of shade. Fronting the Stables (where guided horseback riding tours are offered), there is a small Hawaiian stone altar (view photos). It is marked by a plaque that says: ""This Hawaiian altar is an 'ahupua'a demarcation between the 'ahupua'a land division boundaries of Opana-Kawela to the west and Hanaka'oe to the east. 'Ahupua'a - literally the altar ('ahu) of the pig (pua'a), it is the name for both a land division and the stone altar that serves as a marker. The 'ahupua'a system of land management was a cornerstone of traditional Hawaiian life and helped Native Hawaiians to develop one of the most sustainable methods of land use in the world. Extending from the forested mountain tops mauka (inland) or the wao akua (region of the gods), through the kula (open plains used for farming) and extending out into makai (ocean), each 'ahupua'a contained everything its inhabitants needed to sustain life.""       ",,"surfing, bodyboarding, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/turtlebaybeach.php
Turtle Beach (Papaoneone Beach),"The Hawaiian name of this beach is Papaoneone Beach, but it is more commonly known as Turtle Beach (see more photos), named after the green sea turtles who like to feed on the seaweed that grows on the reef here. They can sometimes be seen in the early morning hours just offshore.   Turtle Beach is a hidden gem on Oahu's west shore. It is not among the most popular beaches on this side of the island, but that doesn't mean that it's a bad beach. On the contrary, the almost white sand contrasts amazingly with the azure blue water. The ocean looks especially turquoise here for some reason, more than on many other Oahu beaches. On the south end of the beach is Mauna Lahilahi, a small mountain which provides a scenic backdrop. Two condominiums are also located on this side of the beach. Turtle Beach can easily be missed when driving along Oahu's west shore because it is not visible from the road. There is a small dirt parking area along the road and three narrow public access walkways lead to the ocean. The only thing Turtle Beach lacks is shade. So if you plan to come here, bring a beach umbrella. In the winter months, the surf can get very high here and this is when swimming is too dangerous. Even in the summer months there can be a strong shorebreak and currents on this beach. A sea cave, called Ulua cave, is located offshore and is a popular scuba diving location in the summer months, with a depth of around 80 feet (24 m).     ",,"swimming, snorkeling, bodyboarding, surfing, scuba diving, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/turtlebeach.php
Ulehawa Beach Park,"Ulehawa Beach Park (see more photos) is a long and narrow sandy beach bordering Farrington Highway on Oahu's west shore.The park area encompasses 58 acres. Near the middle of the beach, the Ulehawa Stream crosses the beach and flows into the ocean. There are two concrete walls on either side of it that extend into the ocean. A surf site named Channels is located here. When the surf is up, strong currents form along the shoreline, which make swimming hazardous. Next to where Ulehawa Stream enters the ocean (north of it) is the Ulehawa Historic Site.          ",,"surfing, bodyboarding, swimming, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/ulehawabeachpark.php
Uppers Beach Park,"Even though it's called a beach park, there is no park here and no facilities either. The shoreline is rocky and there is no sandy beach. Located right next to Kamehameha Highway, Uppers (view panorama) is mainly visited by surfers (a surf spot called Uppers is located offshore). But the surf site isn't that good or popular. Access to the ocean is only possible after climbing over big lava rocks. The beach park was called Uppers because it is the last surf spot before Waimea Bay as one drives up from Haleiwa.       ",,"surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/uppersbeachpark.php
Waiahole Beach Park,"Even though this is a beach park, there are no facilities here. Waiahole Beach Park (see more photos, view panorama) doesn't see many visitors, mainly because the narrow beach has dark sand and the ocean is murky and brown.Swimming isn't possible here because the nearshore ocean bottom is shallow and has a reef. What this beach park does have though is nice views. In the distance you can see Chinaman's Hat Island (also known as Mokoli'i Island), and the lush Ko'olau Mountains provide a scenic backdrop.   The Waikane Pier is also visible from Waiahole Beach. The pier has been featured in numerous Hollywood movies and TV shows, including 50 First Dates, Fantasy Island and LOST. However, it is located on private property. The beach park has a large grassy area with a few trees that provide shade, but there are no picnic tables. Waiahole Beach is mainly visited by fishermen. The beach park is at the foot of Waiahole Valley, where taro was grown in the past. The historic Waiahole Poi Factory (which closed in 1971) used to be one of the largest poi factories on the island.     ",,fishing,Oahu,https://www.to-hawaii.com/oahu/beaches/waiaholebeachpark.php
